device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,ip_country,ip_city,ip_latitude,ip_longitude,ip_timezone,ip_network,ua_os,ua_os_version,ua_browser,ua_browser_version,ua_is_mobile
0e1cf08b-671a-4444-b937-05b673c24b02,-,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,213.87.159.76,Russia,Moscow,55.7487,37.6187,Europe/Moscow,213.87.144.0/20,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,a0b9131dec126d13d21e526a38eef78dfb3b300b,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,"109.197.204.228,213.87.148.163",Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,-,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.226,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,19775b24031ac1fb98de5287448420a88dc57af7,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.190,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,9e24fbe7c244b3f401bf7a9cb7694090dd1f2242,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.53,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,f2c707713676b250c08367156848922c35462d30,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.189,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,94251e80b0b100a5a3c61a286e402857969eb6fa,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.189,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,4a57fd4eb99fa499ecef15b14fe5a5edbea490b4,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,"109.197.204.223,213.87.135.179",Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,79.0.3945,
0e1cf08b-671a-4444-b937-05b673c24b02,a706ac982dc13620bc1538b9d1c7a913eef192fa,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,109.197.204.222,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,79.0.3945,
0e1cf08b-671a-4444-b937-05b673c24b02,72ea52d509648c35511490abcde130f1ca8ce8ce,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.61,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
